City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Dikson,RU,2023-01-14 04:05:51,73.5069,80.5464,-34.64,94,17,5.59
103,Marsa Matruh,EG,2023-01-14 04:05:51,31.3525,27.2453,57.97,65,17,12.1
104,Mahon,ES,2023-01-14 04:05:51,39.8885,4.2658,46.96,93,0,0.0
105,Kouango,CF,2023-01-14 04:05:52,4.9934,19.9619,70.74,31,100,1.9
106,Shu,KZ,2023-01-14 04:05:53,43.5983,73.7614,-4.16,87,15,3.51
107,Dorchester,US,2023-01-14 04:05:54,33.1002,-80.3831,44.98,92,100,8.05
108,Grindavik,IS,2023-01-14 04:05:55,63.8424,-22.4338,27.07,63,0,9.22
109,Darab,IR,2023-01-14 04:05:56,28.7519,54.5444,45.05,46,1,2.55
110,Yabrud,SY,2023-01-14 04:05:57,33.9674,36.6574,34.2,92,76,6.51
111,Itarema,BR,2023-01-14 04:05:24,-2.9248,-39.9167,78.04,84,64,12.01
112,Pavlodar,KZ,2023-01-14 04:05:59,52.3,76.95,12.0,73,100,17.9
113,Sistranda,NO,2023-01-14 04:02:29,63.7256,8.834,31.96,72,100,13.51
114,Vieste,IT,2023-01-14 04:05:59,41.8825,16.175,53.26,74,45,5.06
115,Krasnogvardeyskiy,RU,2023-01-14 04:06:00,57.3793,62.3195,16.3,75,100,14.2
116,Velyka Lepetykha,UA,2023-01-14 04:06:00,47.1757,33.9436,28.04,92,73,7.87
117,Hofn,IS,2023-01-14 04:06:02,64.2539,-15.2082,25.18,80,100,16.73
118,Hambantota,LK,2023-01-14 04:06:03,6.1241,81.1185,79.14,83,0,6.91
119,Jurado,CO,2023-01-14 04:06:06,7.1053,-77.7641,74.16,94,100,4.9
120,Bathsheba,BB,2023-01-14 04:06:07,13.2167,-59.5167,77.61,88,40,13.8
121,Chapais,CA,2023-01-14 04:06:08,49.7834,-74.8492,-8.28,90,8,6.24
122,Abu Samrah,SY,2023-01-14 04:06:09,35.3029,37.1841,44.01,83,100,8.9
123,Kusti,SD,2023-01-14 04:06:10,13.1629,32.6635,64.09,25,67,9.22
124,Kjollefjord,NO,2023-01-14 04:06:11,70.9457,27.3465,33.85,80,19,19.57
125,Stirion,GR,2023-01-14 04:06:13,38.4,22.7167,34.7,75,1,2.04
126,Maraa,BR,2023-01-14 04:06:14,-1.8333,-65.3667,72.36,95,100,2.77
127,Cape Girardeau,US,2023-01-14 04:06:16,37.3834,-89.7168,31.59,74,83,3.0
128,Surt,LY,2023-01-14 04:06:17,31.2089,16.5887,58.59,77,39,9.86
129,Goderich,CA,2023-01-14 04:02:13,43.7501,-81.7165,25.92,73,91,18.37
130,Upernavik,GL,2023-01-14 04:06:20,72.7868,-56.1549,0.77,57,100,7.2
131,Sao Joao Da Barra,BR,2023-01-14 04:06:22,-21.6403,-41.0511,75.7,89,100,21.54
132,Taman,RU,2023-01-14 04:06:23,45.2117,36.7161,35.33,80,5,6.26
133,Cidreira,BR,2023-01-14 04:06:25,-30.1811,-50.2056,70.61,88,100,5.82
134,Semnan,IR,2023-01-14 04:06:27,35.5729,53.3971,22.87,52,11,1.1
135,Oranjestad,AW,2023-01-14 04:06:28,12.524,-70.027,77.92,90,0,1.99
136,Jalu,LY,2023-01-14 04:06:30,29.0331,21.5482,51.84,73,1,8.68
137,Nantucket,US,2023-01-14 04:05:26,41.2835,-70.0995,48.34,94,100,4.61
138,Esna,EG,2023-01-14 04:06:32,25.2934,32.554,50.4,60,0,5.3
139,Iqaluit,CA,2023-01-14 04:07:33,63.7506,-68.5145,-32.24,90,32,5.3
140,Cockburn Town,TC,2023-01-14 04:07:33,21.4612,-71.1419,78.57,79,9,15.08
141,Midland,US,2023-01-14 04:04:22,31.9974,-102.0779,50.67,33,0,8.05
142,Gudari,IN,2023-01-14 04:07:35,19.35,83.7833,78.6,41,58,1.36
143,Kavaratti,IN,2023-01-14 04:07:36,10.5669,72.642,80.38,66,89,12.8
144,Moose Factory,CA,2023-01-14 04:07:37,51.2585,-80.6094,-16.62,76,0,3.44
145,Kalabo,ZM,2023-01-14 04:07:38,-14.97,22.6814,62.17,99,98,2.8
146,Mayumba,GA,2023-01-14 04:07:39,-3.432,10.6554,76.21,85,99,3.69
147,Nara,JP,2023-01-14 04:04:57,34.6851,135.8049,54.97,97,100,1.01
148,Vila Velha,BR,2023-01-14 04:07:41,-20.3297,-40.2925,78.75,87,75,8.05
149,Svetlyy,RU,2023-01-14 04:07:41,54.675,20.1347,42.85,83,85,20.51
150,Matadi,CD,2023-01-14 04:07:44,-5.8167,13.45,73.35,95,72,0.72
151,Presidencia Roque Saenz Pena,AR,2023-01-14 04:07:45,-26.7852,-60.4388,65.98,78,7,3.2
152,Harper,LR,2023-01-14 04:07:46,4.375,-7.7169,78.31,81,95,4.32
153,Ponta Do Sol,PT,2023-01-14 04:07:47,32.6667,-17.1,61.43,74,13,6.17
154,Shache,CN,2023-01-14 04:07:48,38.4167,77.2406,17.33,88,100,4.59
155,Kokstad,ZA,2023-01-14 04:07:48,-30.5472,29.4241,63.64,62,0,3.85
156,Faya,SA,2023-01-14 04:07:49,18.3851,42.4509,52.32,73,24,4.21
157,Los Llanos De Aridane,ES,2023-01-14 04:07:49,28.6585,-17.9182,62.35,71,75,9.22
158,Port-Gentil,GA,2023-01-14 04:07:50,-0.7193,8.7815,79.84,79,38,8.9
159,Matagami,CA,2023-01-14 04:07:53,49.7502,-77.6328,-19.05,100,7,3.15
160,Narnaul,IN,2023-01-14 04:07:53,28.0444,76.1083,52.32,45,0,7.4
161,Blagaj,BA,2023-01-14 04:07:54,43.2575,17.8886,39.16,87,0,3.44
162,Vila Franca Do Campo,PT,2023-01-14 04:07:55,37.7167,-25.4333,63.01,88,100,17.36
163,Mezen,RU,2023-01-14 04:07:56,65.8522,44.24,30.72,94,100,9.22
164,Berlevag,NO,2023-01-14 04:07:57,70.8578,29.0864,31.95,74,13,19.57
165,Sao Miguel Do Araguaia,BR,2023-01-14 04:05:36,-13.275,-50.1628,71.8,94,100,3.22
166,Gat,IL,2023-01-14 04:07:58,31.61,34.7642,56.39,100,11,9.4
167,Cascais,PT,2023-01-14 04:07:59,38.6979,-9.4215,58.51,85,100,15.01
168,Pisco,PE,2023-01-14 04:08:00,-13.7,-76.2167,69.85,78,0,2.3
169,Arlit,NE,2023-01-14 04:08:01,18.7369,7.3853,58.14,26,15,5.08
170,Uhlove,UA,2023-01-14 04:08:02,44.8215,33.6045,38.62,87,55,2.57
171,Kruisfontein,ZA,2023-01-14 04:08:03,-34.0033,24.7314,63.88,81,93,1.86
172,Nardaran,AZ,2023-01-14 04:08:04,40.5561,50.0056,37.04,81,100,13.8
173,Marawi,PH,2023-01-14 04:08:06,7.9986,124.2928,74.16,92,100,3.98
174,Diego De Almagro,CL,2023-01-14 04:08:08,-26.3667,-70.05,61.0,63,0,1.1
175,Sundsvall,SE,2023-01-14 04:08:09,62.3913,17.3063,28.36,93,100,8.05
176,Ellsworth,US,2023-01-14 04:05:54,44.5434,-68.4195,38.64,94,100,10.36
177,Luderitz,NA,2023-01-14 04:08:11,-26.6481,15.1594,63.75,68,1,19.39
178,The Valley,AI,2023-01-14 04:08:12,18.217,-63.0578,78.1,73,0,18.52
179,Ndele,CF,2023-01-14 04:08:13,8.4109,20.6473,66.09,31,84,4.45
180,Baghmara,IN,2023-01-14 04:08:14,23.795,86.2085,71.87,37,0,0.92
181,Waterfoot,GB,2023-01-14 04:08:16,53.6929,-2.2525,46.56,96,100,8.99
182,Shambu,ET,2023-01-14 04:08:18,9.5667,37.1,51.46,75,85,1.28
183,Epe,NG,2023-01-14 04:08:19,6.5841,3.9834,72.77,95,100,1.05
184,Podor,MR,2023-01-14 04:09:21,16.6527,-14.9587,73.26,11,87,9.93
185,Lowestoft,GB,2023-01-14 04:09:22,52.4752,1.7516,47.95,88,100,18.45
186,Amla,IN,2023-01-14 04:09:22,21.9333,78.1167,63.0,41,0,5.55
187,Pedernales,DO,2023-01-14 04:09:23,18.0384,-71.744,75.45,75,0,2.24
188,Arraial Do Cabo,BR,2023-01-14 04:09:23,-22.9661,-42.0278,75.07,92,100,23.22
189,Saint-Leu,RE,2023-01-14 04:09:23,-21.15,55.2833,81.46,73,94,1.54
190,Skeldon,GY,2023-01-14 04:09:24,5.8833,-57.1333,73.6,94,68,5.3
191,Haverfordwest,GB,2023-01-14 04:09:24,51.8017,-4.9691,53.06,96,100,11.01
192,Sao Jose Da Coroa Grande,BR,2023-01-14 04:09:25,-8.8978,-35.1478,77.41,80,25,8.32
193,Gravdal,NO,2023-01-14 04:09:26,68.1214,13.5031,34.72,60,99,22.73
194,Stornoway,GB,2023-01-14 04:09:27,58.2093,-6.3865,40.96,88,100,23.02
195,Cayenne,GF,2023-01-14 04:09:28,4.9333,-52.3333,75.24,94,100,4.61
196,Salinopolis,BR,2023-01-14 04:09:28,-0.6136,-47.3561,78.26,86,82,9.08
