City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
223,Iquique,CL,2023-01-18 04:19:51,-20.2208,-70.1431,68.04,77,54,0.51,broken clouds
224,Narsaq,GL,2023-01-18 04:19:52,60.9167,-46.05,14.22,71,100,6.62,overcast clouds
225,Vila Velha,BR,2023-01-18 04:19:52,-20.3297,-40.2925,75.15,97,75,2.3,broken clouds
226,Namanyere,TZ,2023-01-18 04:19:53,-7.5167,31.05,59.22,98,99,2.89,light rain
227,Oranjemund,NA,2023-01-18 04:19:54,-28.55,16.4333,65.93,91,100,7.94,overcast clouds
228,Vilhena,BR,2023-01-18 04:19:55,-12.7406,-60.1458,66.07,94,90,1.63,overcast clouds
229,Los Llanos De Aridane,ES,2023-01-18 04:19:56,28.6585,-17.9182,58.75,79,75,9.22,broken clouds
230,Mecca,SA,2023-01-18 04:06:25,21.4267,39.8261,66.54,54,7,2.28,clear sky
231,Vestmannaeyjar,IS,2023-01-18 04:19:58,63.4427,-20.2734,21.9,75,0,19.44,clear sky
232,Gopalpur,IN,2023-01-18 04:19:59,19.2667,84.9167,75.56,67,0,0.83,clear sky
233,Pangnirtung,CA,2023-01-18 04:19:59,66.1451,-65.7125,-12.69,71,100,3.67,overcast clouds
234,Mahuva,IN,2023-01-18 05:10:21,21.0914,71.7622,71.71,34,0,11.48,clear sky
235,Kondinskoye,RU,2023-01-18 05:10:22,59.6481,67.41,12.11,87,98,9.84,overcast clouds
236,Mocuba,MZ,2023-01-18 05:10:23,-16.8392,36.9856,75.13,91,100,3.42,overcast clouds
237,Marsh Harbour,BS,2023-01-18 05:10:25,26.5412,-77.0636,69.06,61,0,4.05,clear sky
238,Mabaruma,GY,2023-01-18 05:10:25,8.2,-59.7833,68.86,97,92,2.19,overcast clouds
239,Nortelandia,BR,2023-01-18 05:10:26,-14.4547,-56.8028,71.44,97,100,0.6,overcast clouds
240,Vitre,FR,2023-01-18 05:10:27,48.1178,-1.2058,31.82,87,26,6.02,scattered clouds
241,Mantua,IT,2023-01-18 05:10:27,45.1667,10.7833,38.01,91,100,1.99,overcast clouds
242,Porto Santo,PT,2023-01-18 05:10:27,33.072,-16.3415,59.38,63,75,19.57,light rain
